YEAR,REGION,STATE,SEX,SEX_COUNTS
2012,33,Oklahoma,1,18273
2012,33,Oklahoma,2,18823
2012,33,Texas,1,122052
2012,33,Texas,2,127103
2012,41,Arizona,1,32561
2012,41,Arizona,2,33384
2012,41,Colorado,1,25403
2012,41,Colorado,2,25919
2012,41,Idaho,1,7527
2012,41,Idaho,2,7766
2012,41,Montana,1,5050
2012,41,Montana,2,5104
2012,41,Nevada,1,13249
2012,41,Nevada,2,13477
2012,41,New Mexico,1,9601
2012,41,New Mexico,2,10170
2012,41,Utah,1,14093
2012,41,Utah,2,14106
2012,41,Wyoming,1,2915
2012,41,Wyoming,2,2909
2012,42,Alaska,1,3679
2012,42,Alaska,2,3267
2012,42,California,1,181432
2012,42,California,2,186615
2012,42,Hawaii,1,7059
2012,42,Hawaii,2,7095
2012,42,Oregon,1,19043
2012,42,Oregon,2,19724
2012,42,Washington,1,34166
2012,42,Washington,2,35135
2013,11,Connecticut,1,17551
2013,11,Connecticut,2,18831
2013,11,Maine,1,6377
2013,11,Maine,2,6605
2013,11,Massachusetts,1,33011
2013,11,Massachusetts,2,35714
2013,11,New Hampshire,1,6564
2013,11,New Hampshire,2,6983
2013,11,Rhode Island,1,5089
2013,11,Rhode Island,2,5529
2013,11,Vermont,1,3122
2013,11,Vermont,2,3266
2013,12,New Jersey,1,42571
2013,12,New Jersey,2,45939
2013,12,New York,1,94492
2013,12,New York,2,101673
2013,12,Pennsylvania,1,62584
2013,12,Pennsylvania,2,65798
2013,21,Illinois,1,62354
2013,21,Illinois,2,65716
2013,21,Indiana,1,32434
2013,21,Indiana,2,33929
2013,21,Michigan,1,48974
2013,21,Michigan,2,50467
2013,21,Ohio,1,57506
2013,21,Ohio,2,60717
2013,21,Wisconsin,1,29290
2013,21,Wisconsin,2,29266
2013,22,Iowa,1,15557
2013,22,Iowa,2,16260
2013,22,Kansas,1,14592
2013,22,Kansas,2,14777
2013,22,Minnesota,1,27548
2013,22,Minnesota,2,27440
2013,22,Missouri,1,29929
2013,22,Missouri,2,31770
2013,22,Nebraska,1,9304
2013,22,Nebraska,2,9531
2013,22,North Dakota,1,3742
2013,22,North Dakota,2,3693
2013,22,South Dakota,1,4350
2013,22,South Dakota,2,4390
2013,31,Delaware,1,4293
2013,31,Delaware,2,4474
2013,31,District of Columbia,1,3061
2013,31,District of Columbia,2,3511
2013,31,Florida,1,92661
2013,31,Florida,2,98373
2013,31,Georgia,1,46574
2013,31,Georgia,2,49994
2013,31,Maryland,1,28235
2013,31,Maryland,2,30798
2013,31,North Carolina,1,46850
2013,31,North Carolina,2,50460
2013,31,South Carolina,1,22555
2013,31,South Carolina,2,24650
2013,31,Virginia,1,40542
2013,31,Virginia,2,42502
2013,31,West Virginia,1,8878
2013,31,West Virginia,2,9390
2013,32,Alabama,1,22868
2013,32,Alabama,2,24968
2013,32,Kentucky,1,21966
2013,32,Kentucky,2,23031
2013,32,Mississippi,1,14171
2013,32,Mississippi,2,15477
2013,32,Tennessee,1,31438
2013,32,Tennessee,2,33710
2013,33,Arkansas,1,14282
2013,33,Arkansas,2,15309
2013,33,Louisiana,1,21463
2013,33,Louisiana,2,23164
2013,33,Oklahoma,1,18366
2013,33,Oklahoma,2,18780
2013,33,Texas,1,124478
2013,33,Texas,2,129121
2013,41,Arizona,1,32878
2013,41,Arizona,2,33654
2013,41,Colorado,1,25801
2013,41,Colorado,2,26306
2013,41,Idaho,1,7877
2013,41,Idaho,2,7909
2013,41,Montana,1,4990
2013,41,Montana,2,5123
2013,41,Nevada,1,13283
2013,41,Nevada,2,13465
2013,41,New Mexico,1,9612
2013,41,New Mexico,2,10102
2013,41,Utah,1,14495
2013,41,Utah,2,14472
2013,41,Wyoming,1,2909
2013,41,Wyoming,2,2919
2013,42,Alaska,1,3595
2013,42,Alaska,2,3153
2013,42,California,1,183060
2013,42,California,2,188343
2013,42,Hawaii,1,7104
2013,42,Hawaii,2,7182
2013,42,Oregon,1,19304
2013,42,Oregon,2,20038
2013,42,Washington,1,34204
2013,42,Washington,2,35389
2015,11,Connecticut,1,17270
2015,11,Connecticut,2,18517
2015,11,Maine,1,6454
2015,11,Maine,2,6605
2015,11,Massachusetts,1,33094
2015,11,Massachusetts,2,35691
2015,11,New Hampshire,1,6540
2015,11,New Hampshire,2,6838
2015,11,Rhode Island,1,5073
2015,11,Rhode Island,2,5490
2015,11,Vermont,1,3145
2015,11,Vermont,2,3181
2015,12,New Jersey,1,42449
2015,12,New Jersey,2,45366
2015,12,New York,1,94385
2015,12,New York,2,101357
2015,12,Pennsylvania,1,62973
2015,12,Pennsylvania,2,65172
2015,21,Illinois,1,62042
2015,21,Illinois,2,64600
2015,21,Indiana,1,32288
2015,21,Indiana,2,33757
2015,21,Michigan,1,48128
2015,21,Michigan,2,49880
2015,21,Ohio,1,57346
2015,21,Ohio,2,60777
2015,21,Wisconsin,1,29428
2015,21,Wisconsin,2,29150
2015,22,Iowa,1,15690
2015,22,Iowa,2,16210
2015,22,Kansas,1,14217
2015,22,Kansas,2,14557
2015,22,Minnesota,1,27386
2015,22,Minnesota,2,27425
