YEAR,REGION,STATE,OCC2010,OCC2010_COUNTS
2011,11,Connecticut,2340,228
2011,11,Connecticut,2400,8
2011,11,Connecticut,2430,40
2011,11,Connecticut,2440,16
2011,11,Connecticut,2540,212
2011,11,Connecticut,2550,20
2011,11,Connecticut,2600,34
2011,11,Connecticut,2630,149
2011,11,Connecticut,2700,26
2011,11,Connecticut,2720,83
2011,11,Connecticut,2740,1
2011,11,Connecticut,2750,32
2011,11,Connecticut,2760,2
2011,11,Connecticut,2800,11
2011,11,Connecticut,2810,58
2011,11,Connecticut,2825,31
2011,11,Connecticut,2840,10
2011,11,Connecticut,2850,51
2011,11,Connecticut,2860,13
2011,11,Connecticut,2900,15
2011,11,Connecticut,2910,21
2011,11,Connecticut,2920,12
2011,11,Connecticut,3000,5
2011,11,Connecticut,3010,31
2011,11,Connecticut,3030,15
2011,11,Connecticut,3040,3
2011,11,Connecticut,3050,21
2011,11,Connecticut,3060,174
2011,11,Connecticut,3110,26
2011,11,Connecticut,3120,3
2011,11,Connecticut,3130,414
2011,11,Connecticut,3140,5
2011,11,Connecticut,3150,16
2011,11,Connecticut,3160,48
2011,11,Connecticut,3210,4
2011,11,Connecticut,3220,7
2011,11,Connecticut,3230,21
2011,11,Connecticut,3240,25
2011,11,Connecticut,3250,17
2011,11,Connecticut,3260,2
2011,11,Connecticut,3300,45
2011,11,Connecticut,3310,37
2011,11,Connecticut,3320,37
2011,11,Connecticut,3400,22
2011,11,Connecticut,3410,51
2011,11,Connecticut,3500,91
2011,11,Connecticut,3510,12
2011,11,Connecticut,3520,11
2011,11,Connecticut,3530,15
2011,11,Connecticut,3540,22
2011,11,Connecticut,3600,366
2011,11,Connecticut,3610,1
2011,11,Connecticut,3620,13
2011,11,Connecticut,3630,19
2011,11,Connecticut,3640,39
2011,11,Connecticut,3650,125
2011,11,Connecticut,3700,5
2011,11,Connecticut,3710,14
2011,11,Connecticut,3720,5
2011,11,Connecticut,3730,15
2011,11,Connecticut,3740,35
2011,11,Connecticut,3750,4
2011,11,Connecticut,3800,33
2011,11,Connecticut,3820,105
2011,11,Connecticut,3900,2
2011,11,Connecticut,3910,5
2011,11,Connecticut,3930,115
2011,11,Connecticut,3940,13
2011,11,Connecticut,3950,65
2011,11,Connecticut,4000,301
2011,11,Connecticut,4010,64
2011,11,Connecticut,4030,137
2011,11,Connecticut,4040,46
2011,11,Connecticut,4050,65
2011,11,Connecticut,4060,62
2011,11,Connecticut,4110,278
2011,11,Connecticut,4120,29
2011,11,Connecticut,4130,70
2011,11,Connecticut,4140,47
2011,11,Connecticut,4150,30
2011,11,Connecticut,4200,34
2011,11,Connecticut,4210,25
2011,11,Connecticut,4220,376
2011,11,Connecticut,4230,185
2011,11,Connecticut,4240,5
2011,11,Connecticut,4250,219
2011,11,Connecticut,4300,9
2011,11,Connecticut,4320,27
2011,11,Connecticut,4340,7
2011,11,Connecticut,4350,25
2011,11,Connecticut,4400,26
2011,11,Connecticut,4420,16
2011,11,Connecticut,4430,37
2011,11,Connecticut,4460,5
2011,11,Connecticut,4500,23
2011,11,Connecticut,4510,87
2011,11,Connecticut,4520,34
2011,11,Connecticut,4530,5
2011,11,Connecticut,4540,3
