STATEFIP,YEAR,MONTH,REGION,COUNTY,AGE,SEX,RACE,BUNBANKED,BACCTEV,BCHECKEV,BCHECK12M,BCHECKREAS,BPAYDAY,BPAYDAYOFT,BPAYDAYREAS,BCHECK30D,BPAYDAY12M,BPAYDAY30D,BINCWHERE,BBILLCASH,BBILLCHECK,BCREDITAPP,BCREDITDENY,BNOACCT,BSAVECACCT,BINC12M,BINTERNET,BPSUPINT,CIHHCOMP,CINETHH,CINETHP,CINTUSE,CINTOUT,CINTOTHH,CINTLIBH,CINTSCH,CINTSCHH,CINONET,CIHSNET,CIPWT,CISUPPWT,UBSUPPWT
50,2009,4022,4022,4022,4022,4022,4022,1933,1933,1933,0,1933,1933,1933,1933,0,1933,0,0,0,0,0,0,0,0,0,0,1933,0,2089,0,2089,0,0,0,0,0,0,2089,0,2089,1933
50,2010,1934,1934,1934,1934,1934,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934,1934,0,0,0,0,1934,0,1934,1934,1934,0,1934,0
50,2011,3929,3929,3929,3929,3929,3929,1951,1951,0,1951,1951,1951,0,1951,1951,1951,1951,0,0,0,0,0,0,0,0,0,1951,0,0,1978,0,0,1978,0,1978,0,1978,1978,1978,1978,1951
50,2012,1876,1876,1876,1876,1876,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,0,0,0,1876,0,1876,1876,1876,1876,1876,0
50,2013,3731,3731,3731,3731,3731,3731,1908,1908,0,1908,0,1908,0,0,1908,1908,1908,0,0,0,0,0,1908,0,0,0,1908,0,0,1823,0,1823,1823,0,1823,0,1823,1823,1823,1823,1908
50,2015,3476,3476,3476,3476,3476,3476,1760,1760,0,1760,0,0,0,0,0,1760,0,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,0,0,1716,0,1716,1716,0,1716,0,0,0,1716,1716,1760
50,2017,3218,3218,3218,3218,3218,3218,1557,1557,0,1557,0,0,0,0,0,1557,0,1557,1557,1557,1557,1557,1557,1557,1557,1557,1557,0,0,1661,0,1661,1661,0,1661,0,0,0,1661,1661,1557
51,2009,5530,5530,5530,5530,5530,5530,2734,2734,2734,0,2734,2734,2734,2734,0,2734,0,0,0,0,0,0,0,0,0,0,2734,0,2796,0,2796,0,0,0,0,0,0,2796,0,2796,2734
51,2010,2878,2878,2878,2878,2878,2878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878,2878,0,0,0,0,2878,0,2878,2878,2878,0,2878,0
51,2011,5715,5715,5715,5715,5715,5715,2890,2890,0,2890,2890,2890,0,2890,2890,2890,2890,0,0,0,0,0,0,0,0,0,2890,0,0,2825,0,0,2825,0,2825,0,2825,2825,2825,2825,2890
